,city-cn,lat,lng
1399,Esteli-Nicaragua,13.09,-86.36
1400,Somoto-Nicaragua,13.476,-86.583
1401,Chinandega-Nicaragua,12.6304,-87.13
1402,Ocotal-Nicaragua,13.63,-86.473
1403,Masaya-Nicaragua,11.969,-86.095
1404,Bluefields-Nicaragua,12.0,-83.7649
1405,Rivas-Nicaragua,11.4404,-85.82
1406,Matagalpa-Nicaragua,12.9171,-85.9167
1407,San Juan de Nicaragua-Nicaragua,10.9204,-83.7
1408,San Juan del Sur-Nicaragua,11.25,-85.86
1409,Maastricht-Netherlands,50.853,5.677
1410,Amsterdam-Netherlands,52.35,4.9166
1411,The Hague-Netherlands,52.08,4.27
1412,Haarlem-Netherlands,52.3804,4.63
1413,Groningen-Netherlands,53.2204,6.58
1414,Middelburg-Netherlands,51.502,3.61
1415,Lelystad-Netherlands,52.5176,5.474
1416,Arnhem-Netherlands,51.988,5.923
1417,Assen-Netherlands,53.0,6.55
1418,'s-Hertogenbosch-Netherlands,51.6833,5.3167
1419,Zwolle-Netherlands,52.524,6.097
1420,Utrecht-Netherlands,52.1003,5.12
1421,Leeuwarden-Netherlands,53.2504,5.7834
1422,Rotterdam-Netherlands,51.92,4.48
1423,Eindhoven-Netherlands,51.43,5.5
1424,Tromso-Norway,69.6351,18.992
1425,Molde-Norway,62.7483,7.1833
1426,Vossavangen-Norway,60.63,6.441
1427,Oslo-Norway,59.9167,10.75
1428,Lillehammer-Norway,61.1333,10.5
1429,Baerum-Norway,59.9135,11.3472
1430,Stavanger-Norway,58.97,5.68
1431,Hermansverk-Norway,61.1833,6.85
1432,Leikanger-Norway,61.1833,6.85
1433,Kristiansand-Norway,58.1666,8.0
1434,Bergen-Norway,60.391,5.3245
1435,Skien-Norway,59.2,9.6
1436,Arendal-Norway,58.4648,8.766
1437,Hamar-Norway,60.82,11.069
1438,Tonsberg-Norway,59.264,10.421
1439,Drammen-Norway,59.7572,10.1907
1440,Bodo-Norway,67.2468,14.399
1441,Haugesund-Norway,59.4119,5.2775
1442,Svolvaer-Norway,68.2333,14.5667
1443,Alesund-Norway,62.5454,6.388
1444,Harstad-Norway,68.7879,16.5156
1445,Finnsnes-Norway,69.2406,18.0086
1446,Alta-Norway,69.9666,23.2417
1447,Kirkenes-Norway,69.725,30.0516
1448,Sandnes-Norway,58.8454,5.69
1449,Gjovik-Norway,60.8,10.7
1450,Mo i Rana-Norway,66.3166,14.1667
1451,Sarpsborg-Norway,59.2833,11.1167
1452,Moss-Norway,59.437,10.6692
1453,Vadso-Norway,70.0966,29.7657
1454,Rorvik-Norway,64.868,11.2053
1455,Namsos-Norway,64.4833,11.5
1456,Trondheim-Norway,63.4167,10.4167
1457,Steinkjer-Norway,64.0171,11.5
1458,Narvik-Norway,68.3832,17.29
1459,Hammerfest-Norway,70.6613,23.688
1460,Jumla-Nepal,29.25,82.2167
1461,Salyan-Nepal,28.35,82.1833
1462,Kathmandu-Nepal,27.7167,85.3166
1463,Bhairawa-Nepal,27.5333,83.3833
1464,Pokhara-Nepal,28.264,83.972
1465,Hetauda-Nepal,27.4167,85.0334
1466,Dandeldhura-Nepal,29.3,80.6
1467,Baglung-Nepal,28.2667,83.5833
1468,Ramechhap-Nepal,27.326,86.087
1469,Lalitpur-Nepal,27.6666,85.3333
1470,Biratnagar-Nepal,26.4837,87.2833
1471,Rajbiraj-Nepal,26.5333,86.7333
1472,Bhimphedi-Nepal,27.551,85.13
1473,Ilam-Nepal,26.908,87.926
1474,Dhangarhi-Nepal,28.695,80.593
1475,Birganj-Nepal,27.0004,84.8666
1476,Nepalganj-Nepal,28.0503,81.6167
1477,Alofi-Niue,-19.0167,-169.9167
1478,Masterton-New Zealand,-40.9439,175.6456
1479,Gore-New Zealand,-46.0947,168.9604
1480,Te Anau-New Zealand,-45.4074,167.7585
1481,Invercargill-New Zealand,-46.4094,168.365
1482,Ashburton-New Zealand,-43.8983,171.7486
1483,Timaru-New Zealand,-44.3972,171.2425
1484,Kaikoura-New Zealand,-42.4012,173.6897
1485,Christchurch-New Zealand,-43.535,172.63
1486,Queenstown-New Zealand,-45.0227,168.7251
1487,Porirua-New Zealand,-41.1219,174.8524
1488,Wanaka-New Zealand,-44.698,169.1449
1489,Nelson-New Zealand,-41.2926,173.2474
1490,Picton-New Zealand,-41.2805,174.0166
1491,Hamilton-New Zealand,-37.7783,175.2896
1492,Dunedin-New Zealand,-45.8854,170.491
1493,Thames-New Zealand,-37.1384,175.5853
1494,Lower Hutt-New Zealand,-41.2037,174.9123
1495,Palmerston North-New Zealand,-40.3527,175.6072
1496,Wanganui-New Zealand,-39.9326,175.0393
1497,Westport-New Zealand,-41.7638,171.6028
1498,Hokitika-New Zealand,-42.7072,171.01
1499,Greymouth-New Zealand,-42.4716,171.2231
1500,Paraparaumu-New Zealand,-40.9034,174.9989
1501,Wellington-New Zealand,-41.3,174.7833
1502,Upper Hutt-New Zealand,-41.1355,175.029
1503,Levin-New Zealand,-40.6124,175.2772
1504,Rotorua-New Zealand,-38.1317,176.2483
1505,Tauranga-New Zealand,-37.6964,176.1536
1506,Waitangi-New Zealand,-44.0263,-176.3696
1507,Taupo-New Zealand,-38.693,176.0771
1508,Whakatane-New Zealand,-37.9574,176.9828
1509,Kerikeri-New Zealand,-35.2285,173.9507
1510,Whangarei-New Zealand,-35.7256,174.323
1511,Pukekohe-New Zealand,-37.2015,174.9033
1512,Auckland-New Zealand,-36.8481,174.763
1513,Waitakere-New Zealand,-36.8524,174.5543
1514,Cambridge-New Zealand,-37.8894,175.4703
1515,Kaitaia-New Zealand,-35.1099,173.2727
1516,Gisborne-New Zealand,-38.6633,178.0181
1517,Turangi-New Zealand,-38.9889,175.8142
1518,Tokoroa-New Zealand,-38.2245,175.8705
1519,Manukau-New Zealand,-37.0,174.885
1520,Napier-New Zealand,-39.49,176.9265
1521,North Shore-New Zealand,-36.7913,174.7758
1522,Oban-New Zealand,-46.8876,168.1666
1523,New Plymouth-New Zealand,-39.0556,174.0748
1524,Hawera-New Zealand,-39.5795,174.278
1525,Kaiapoi-New Zealand,-43.3813,172.651
1526,Mirbat-Oman,16.9924,54.6918
1527,Nizwa-Oman,22.9264,57.5314
1528,Ar Rustaq-Oman,23.3908,57.4244
1529,Hayma'-Oman,19.9333,56.3167
1530,Sur-Oman,22.5667,59.5289
1531,Khasab-Oman,26.1799,56.2477
1532,Salalah-Oman,17.0255,54.0852
1533,Muscat-Oman,23.6133,58.5933
1534,Suhar-Oman,24.3643,56.7468
1535,Ibra'-Oman,22.6906,58.5334
1536,Alayat Samail-Oman,23.3032,57.9782
1537,Ibri-Oman,23.2254,56.517
1538,Al Buraymi-Oman,24.2611,55.7903
1539,As Sib-Oman,23.6802,58.1825
1540,Dawwah-Oman,20.633,58.908
1541,Suhar-Oman,24.362,56.7344
1542,Balboa-Panama,8.95,-79.5667
1543,Panama City-Panama,8.968,-79.533
1544,La Chorrera-Panama,8.8803,-79.7833
1545,Colon-Panama,9.365,-79.875
1546,Jaque-Panama,7.519,-78.166
1547,La Palma-Panama,8.3982,-78.1402
1548,Penonome-Panama,8.51,-80.36
1549,Union Choco-Panama,8.0989,-77.6085
1550,David-Panama,8.4333,-82.4333
1551,Puerto Armuelles-Panama,8.28,-82.87
1552,Santiago-Panama,8.1004,-80.9833
1553,Las Tablas-Panama,7.7604,-80.28
1554,Chitre-Panama,7.97,-80.42
1555,Buabidi-Panama,8.4746,-81.6983
1556,Bocas del Toro-Panama,9.3354,-82.2475
1557,Almirante-Panama,9.3,-82.4
1558,El Porvenir-Panama,9.5417,-78.972
1559,Trujillo-Peru,-8.12,-79.02
1560,Lima-Peru,-12.048,-77.0501
1561,Abancay-Peru,-13.6396,-72.89
1562,Nuevo Rocafuerte-Peru,-0.9329,-75.4
1563,Arequipa-Peru,-16.42,-71.53
1564,Huaura-Peru,-11.06,-77.6
1565,Tournavista-Peru,-8.9322,-74.7052
1566,Jaen-Peru,-5.7096,-78.81
1567,Huamachuco-Peru,-7.81,-78.0499
1568,Chiclayo-Peru,-6.7629,-79.8366
1569,Motupe-Peru,-6.15,-79.71
1570,Lamas-Peru,-6.43,-76.52
1571,Juanjui-Peru,-7.1696,-76.74
1572,Olmos-Peru,-5.9796,-79.75
1573,Moyobamba-Peru,-6.0496,-76.9667
1574,Tarapoto-Peru,-6.51,-76.48
1575,Chulucanas-Peru,-5.0896,-80.17
1576,Huaraz-Peru,-9.53,-77.53
1577,Chota-Peru,-6.5496,-78.65
1578,Callao-Peru,-12.07,-77.135
1579,Tarma-Peru,-11.41,-75.73
1580,Ilave-Peru,-16.0796,-69.67
1581,Puno-Peru,-15.8329,-70.0333
1582,Urubamba-Peru,-13.3042,-72.1166
1583,La Oroya-Peru,-11.52,-75.94
1584,San Ramon-Peru,-11.1296,-75.34
1585,Cerro de Pasco-Peru,-10.69,-76.27
1586,Jauja-Peru,-11.7996,-75.5
1587,Cajamarca-Peru,-7.15,-78.53
1588,Satipo-Peru,-11.26,-74.69
1589,Ilo-Peru,-17.64,-71.34
1590,Gueppi-Peru,-0.1166,-75.23
1591,Otuzco-Peru,-7.9,-78.57
1592,Moquegua-Peru,-17.19,-70.94
1593,Andoas-Peru,-2.9021,-76.4025
1594,Salaverry-Peru,-8.22,-78.99
1595,Pativilca-Peru,-10.6996,-77.8
1596,Soldado Bartra-Peru,-2.5161,-75.7666
1597,Puca Urco-Peru,-2.3328,-71.9167
1598,Tumbes-Peru,-3.57,-80.46
1599,Ica-Peru,-14.068,-75.7255
1600,Sullana-Peru,-4.8896,-80.68
1601,Cusco-Peru,-13.525,-71.9722
1602,Santo Tomas-Peru,-14.46,-72.08
1603,Puquio-Peru,-14.7,-74.13
1604,Juliaca-Peru,-15.5,-70.14
1605,Huancayo-Peru,-12.08,-75.2
1606,Piura-Peru,-5.21,-80.63
1607,Paita-Peru,-5.09,-81.12
1608,Tingo Maria-Peru,-9.2896,-75.99
1609,Huanuco-Peru,-9.92,-76.24
1610,Sicuani-Peru,-14.2896,-71.23
1611,Desaguadero-Peru,-16.5646,-69.045
1612,Cajabamba-Peru,-7.6196,-78.04
1613,Putina-Peru,-15.47,-69.43
1614,Pacasmayo-Peru,-7.4006,-79.5706
1615,Caballococha-Peru,-3.9163,-70.5083
1616,Tocache-Peru,-8.1796,-76.52
1617,Pucallpa-Peru,-8.3689,-74.535
1618,Junin-Peru,-11.1496,-76.01
1619,Camana-Peru,-16.6196,-72.72
1620,Chincha Alta-Peru,-13.4196,-76.14
1621,Nauta-Peru,-4.57,-73.78
1622,Iquitos-Peru,-3.75,-73.25
1623,Puerto Maldonado-Peru,-12.6,-69.1833
1624,Requena-Peru,-5.0696,-73.91
1625,Casma-Peru,-9.44,-78.21
1626,Ayaviri-Peru,-14.8796,-70.6
1627,Chosica-Peru,-11.93,-76.71
1628,Ayacucho-Peru,-13.175,-74.22
1629,Huancavelica-Peru,-12.79,-74.99
1630,Huanta-Peru,-12.9496,-74.25
1631,Chilca-Peru,-12.5196,-76.74
1632,Chancay-Peru,-11.5596,-77.27
1633,Chimbote-Peru,-9.07,-78.57
1634,Nasca-Peru,-14.83,-74.94
1635,Mollendo-Peru,-17.02,-72.02
1636,Huarmey-Peru,-10.0696,-78.16
1637,Santiago-Peru,-14.1896,-75.74
1638,Coracora-Peru,-15.0196,-73.79
1639,Pimentel-Peru,-6.8296,-79.93
1640,Ferrenafe-Peru,-6.63,-79.8
1641,Talara-Peru,-4.58,-81.28
1642,Sechura-Peru,-5.5596,-80.82
1643,Pisco-Peru,-13.71,-76.22
1644,Contamana-Peru,-7.34,-75.02
1645,Chachapoyas-Peru,-6.2296,-77.87
1646,Huacho-Peru,-11.11,-77.6199
1647,Tacna-Peru,-18.0,-70.25
1648,Papeete-French Polynesia,-17.5334,-149.5667
1649,Port Moresby-Papua New Guinea,-9.4647,147.1925
1650,Kieta-Papua New Guinea,-6.2163,155.6333
1651,Sohano-Papua New Guinea,-5.4297,154.6711
1652,Wewak-Papua New Guinea,-3.5535,143.6367
1653,Kavieng-Papua New Guinea,-2.5813,150.813
1654,Lorengau-Papua New Guinea,-2.032,147.28
1655,Hoskins-Papua New Guinea,-5.4746,150.41
1656,Abau-Papua New Guinea,-10.0426,148.565
1657,Kimbe-Papua New Guinea,-5.55,150.143
1658,Alotau-Papua New Guinea,-10.3021,150.4591
1659,Daru-Papua New Guinea,-9.1092,143.2337
1660,Mt. Hagen-Papua New Guinea,-5.8632,144.2168
1661,Lae-Papua New Guinea,-6.733,146.99
1662,Goroka-Papua New Guinea,-6.0833,145.3855
1663,Madang-Papua New Guinea,-5.2248,145.7853
1664,Arawa-Papua New Guinea,-6.228,155.566
1665,Kerema-Papua New Guinea,-7.927,145.838
1666,Vanimo-Papua New Guinea,-2.69,141.304
1667,Rabaul-Papua New Guinea,-4.2055,152.1434
1668,Popondetta-Papua New Guinea,-8.7692,148.2484
1669,Wabag-Papua New Guinea,-5.49,143.718
1670,Mendi-Papua New Guinea,-6.1444,143.6452
1671,Kundiawa-Papua New Guinea,-6.023,144.96
1672,Alabel-Philippines,6.1018,125.2905
1673,Laoag-Philippines,18.1988,120.5936
1674,Marawi City-Philippines,8.0034,124.2839
1675,Cadiz-Philippines,10.9587,123.3086
1676,Malaybalay-Philippines,8.1575,125.1278
1677,Calbayog-Philippines,12.0672,124.6042
1678,Gingoog-Philippines,8.8304,125.13
1679,Roxas-Philippines,11.5853,122.7511
1680,San Pablo-Philippines,14.0696,121.3226
1681,San Carlos-Philippines,10.5504,123.38
1682,City of Isabela-Philippines,6.7041,121.9712
1683,Cabanatuan-Philippines,15.5021,120.9617
1684,Baguio City-Philippines,16.43,120.5699
1685,Manila-Philippines,14.6042,120.9822
1686,Makati City-Philippines,14.5501,121.036
1687,Pasig City-Philippines,14.5604,121.0812
1688,City of Paranaque-Philippines,14.4978,120.9907
1689,Baler-Philippines,15.7589,121.5607
1690,Bangued-Philippines,17.5982,120.6155
1691,Balanga-Philippines,14.6761,120.5361
1692,Boac-Philippines,13.4463,121.84
1693,Malita-Philippines,6.415,125.6117
1694,Malolos-Philippines,14.8443,120.8104
1695,Mati-Philippines,6.9551,126.2166
1696,Batangas-Philippines,13.7817,121.0217
1697,Bayombong-Philippines,16.4812,121.1497
1698,Angeles-Philippines,15.1451,120.5451
1699,Bacolod-Philippines,10.6317,122.9817
1700,Mandaue City-Philippines,10.3237,123.9436
1701,Bongao-Philippines,5.0292,119.7731
1702,Bontoc-Philippines,17.0899,120.978
1703,Borongan-Philippines,11.6081,125.4319
1704,Butuan-Philippines,8.9495,125.5436
1705,Cabadbaran-Philippines,9.1236,125.5344
1706,Cabarroguis-Philippines,16.5111,121.5212
1707,Cagayan de Oro-Philippines,8.4508,124.6853
1708,Calapan-Philippines,13.4108,121.1797
1709,Caloocan City-Philippines,14.6492,120.9826
1710,Catarman-Philippines,12.4989,124.6377
1711,Catbalogan-Philippines,11.7753,124.8861
1712,Cebu-Philippines,10.32,123.9001
1713,Cotabato-Philippines,7.2169,124.2484
1714,Daet-Philippines,14.1122,122.9553
1715,Dagupan-Philippines,16.0479,120.3408
1716,Davao-Philippines,7.11,125.63
1717,Digos-Philippines,6.7497,125.3572
1718,Dipolog-Philippines,8.5883,123.3409
1719,Dumaguete City-Philippines,9.307,123.3074
1720,General Santos-Philippines,6.1108,125.1747
1721,Iba-Philippines,15.3276,119.978
1722,Ilagan-Philippines,17.1485,121.8892
1723,Iligan-Philippines,8.1712,124.2154
1724,Iloilo-Philippines,10.705,122.545
1725,Ipil-Philippines,7.7844,122.5861
1726,Jolo-Philippines,6.0522,121.0022
1727,Jordan-Philippines,10.6584,122.5963
1728,Kabugao-Philippines,18.0231,121.184
1729,Kalibo-Philippines,11.7086,122.3648
1730,Kidapawan-Philippines,7.0083,125.0894
1731,Lagawe-Philippines,16.8,121.1192
1732,La Trinidad-Philippines,16.4556,120.5903
1733,Lapu-Lapu City-Philippines,10.3103,123.9494
1734,Legazpi-Philippines,13.17,123.75
1735,Lingayen-Philippines,16.0218,120.2319
1736,Lucena-Philippines,13.9348,121.6127
1737,Maasin-Philippines,10.1336,124.8447
1738,Malabon-Philippines,14.6691,120.972
1739,Mambajao-Philippines,9.2504,124.7156
1740,Mamburao-Philippines,13.2233,120.596
1741,Mandaluyong City-Philippines,14.5832,121.0409
1742,Marikina City-Philippines,14.6414,121.1118
1743,Masbate-Philippines,12.3687,123.6225
1744,Muntinlupa City-Philippines,14.4135,121.0263
1745,Nabunturan-Philippines,7.6029,125.9629
1746,Naga-Philippines,13.6192,123.1814
1747,Naval-Philippines,11.5612,124.3952
1748,Navotas-Philippines,14.6477,120.9591
1749,Olongapo-Philippines,14.8296,120.2828
1750,Ormac-Philippines,11.0643,124.6075
1751,Oroquieta-Philippines,8.4859,123.8048
1752,Pagadian-Philippines,7.853,123.507
1753,Palayan City-Philippines,15.5415,121.0848
1754,Pasay City-Philippines,14.5504,121.0
1755,Pili-Philippines,13.7177,123.7448
1756,Prosperidad-Philippines,8.58,125.8964
1757,Puerto Princesa-Philippines,9.7543,118.7444
1758,Quezon City-Philippines,14.6504,121.03
1759,Romblon-Philippines,12.5751,122.2708
1760,San Fernando-Philippines,16.6186,120.3194
1761,San Fernando-Philippines,15.0343,120.6844
1762,San Jose-Philippines,10.18,125.5683
1763,San Juan-Philippines,14.6,121.0333
1764,Santa Cruz-Philippines,14.1167,121.2833
1765,Santiago-Philippines,16.6881,121.5472
1766,Shariff Aguak-Philippines,6.8647,124.4417
1767,Siquijor-Philippines,9.2142,123.515
1768,Sorsogon-Philippines,12.9708,124.0053
1769,Surigao-Philippines,9.7843,125.4888
1770,Tabuk-Philippines,17.4084,121.2785
1771,Tacloban-Philippines,11.2504,125.0
1772,Taguig City-Philippines,14.5289,121.0723
1773,Tagum-Philippines,7.4475,125.8094
1774,Tandag-Philippines,9.0783,126.1986
1775,Tarlac-Philippines,15.4838,120.5834
1776,Trece Martires City-Philippines,14.2832,120.8677
1777,Tubod-Philippines,8.0555,123.7904
1778,Tuguegarao-Philippines,17.6131,121.7269
1779,Valenzuela-Philippines,14.6936,120.9656
1780,Vigan-Philippines,17.5747,120.3869
1781,Virac-Philippines,13.5848,124.2374
1782,Zamboanga-Philippines,6.92,122.08
1783,San Jose-Philippines,10.745,121.9415
1784,Basco-Philippines,20.4486,121.9702
1785,Antipolo-Philippines,14.5886,121.1757
1786,Koronadal-Philippines,6.2541,124.9922
1787,Isulan-Philippines,6.6294,124.6051
1788,Ozamis-Philippines,8.1462,123.8444
1789,Tagum-Philippines,7.3821,125.8017
1790,Karachi-Pakistan,24.87,66.99
1791,Gilgit-Pakistan,35.9171,74.3
1792,Chaman-Pakistan,30.925,66.4463
1793,Turbat-Pakistan,25.9918,63.0718
1794,Islamabad-Pakistan,33.7,73.1666
1795,Zhob-Pakistan,31.349,69.4386
1796,Quetta-Pakistan,30.22,67.025
1797,Hyderabad-Pakistan,25.38,68.375
1798,Mardan-Pakistan,34.2,72.04
1799,Saidu-Pakistan,34.75,72.35
1800,Jhang-Pakistan,31.2804,72.325
1801,Kasur-Pakistan,31.1254,74.455
1802,Lahore-Pakistan,31.56,74.35
1803,Nawabshah-Pakistan,26.2454,68.4
1804,Chiniot-Pakistan,31.72,72.98
1805,Bannu-Pakistan,32.989,70.5986
1806,Sadiqabad-Pakistan,28.3006,70.1302
1807,Sukkur-Pakistan,27.7136,68.8486
1808,Peshawar-Pakistan,34.005,71.535
1809,Bahawalpur-Pakistan,29.39,71.675
1810,Sargodha-Pakistan,32.0854,72.675
1811,Dera Ismail Khan-Pakistan,31.829,70.8986
1812,Kundian-Pakistan,32.4522,71.4718
1813,Gwadar-Pakistan,25.139,62.3286
1814,Parachinar-Pakistan,33.8992,70.1008
1815,Larkana-Pakistan,27.5618,68.2068
1816,Kohat-Pakistan,33.6027,71.4327
1817,Rahim Yar Khan-Pakistan,28.4202,70.2952
1818,Mirput Khas-Pakistan,25.5318,69.0118
1819,Dera Ghazi Khan-Pakistan,30.0604,70.6351
1820,Gujranwala-Pakistan,32.1604,74.185
1821,Rawalpindi-Pakistan,33.6,73.04
1822,Gujrat-Pakistan,32.58,74.08
1823,Sialkote-Pakistan,32.52,74.56
1824,Mansehra-Pakistan,34.3418,73.1968
1825,Abbottabad-Pakistan,34.1495,73.1995
1826,Multan-Pakistan,30.2,71.455
1827,Sheikhu Pura-Pakistan,31.72,73.99
1828,Sahiwal-Pakistan,30.6717,73.1118
1829,Okara-Pakistan,30.8104,73.45
1830,Faisalabad-Pakistan,31.41,73.11
1831,Lodz-Poland,51.775,19.4514
1832,Lublin-Poland,51.2504,22.5727
1833,Wroclaw-Poland,51.1104,17.03
1834,Bialystok-Poland,53.1504,23.17
1835,Poznan-Poland,52.4058,16.8999
1836,Zielona Gora-Poland,51.9504,15.5
1837,Bydgoszcz-Poland,53.1204,18.01
1838,Szczecin-Poland,53.4204,14.53
1839,Gdansk-Poland,54.36,18.64
1840,Olsztyn-Poland,53.8,20.48
1841,Katowice-Poland,50.2604,19.02
1842,Rzeszow-Poland,50.0705,22.0
1843,Krakow-Poland,50.06,19.96
1844,Opole-Poland,50.685,17.9313
1845,Kielce-Poland,50.8904,20.66
1846,Gorzow Wielkopolski-Poland,52.7368,15.2288
1847,Gdynia-Poland,54.5204,18.53
1848,Grudziadz-Poland,53.4804,18.75
1849,Inowroclaw-Poland,52.7799,18.25
1850,Gliwice-Poland,50.3304,18.67
1851,Bytom-Poland,50.35,18.91
1852,Warsaw-Poland,52.25,21.0
1853,Elblag-Poland,54.19,19.4027
1854,Elk-Poland,53.8337,22.35
1855,Koszalin-Poland,54.2,16.1833
1856,Saint-Pierre-Saint Pierre And Miquelon,46.7811,-56.1764
1857,Adamstown-Pitcairn Islands,-25.0667,-130.0833
1858,Funchal-Portugal,32.65,-16.88
1859,Setubal-Portugal,38.53,-8.9
1860,Lisbon-Portugal,38.7227,-9.1449
1861,Evora-Portugal,38.56,-7.906
1862,Angra do Heroismo-Portugal,38.6504,-27.2167
1863,Santarem-Portugal,39.231,-8.682
1864,Horta-Portugal,38.5347,-28.6448
1865,Ponta Delgada-Portugal,37.7483,-25.6666
1866,Porto-Portugal,41.15,-8.62
1867,Faro-Portugal,37.0171,-7.9333
1868,Vila Real-Portugal,41.294,-7.737
1869,Aveiro-Portugal,40.641,-8.651
1870,Guarda-Portugal,40.541,-7.262
1871,Viseu-Portugal,40.657,-7.91
1872,Braganca-Portugal,41.808,-6.755
1873,Viana Do Castelo-Portugal,41.6962,-8.8441
1874,Braga-Portugal,41.555,-8.4213
1875,Beja-Portugal,38.014,-7.863
1876,Castelo Branco-Portugal,39.811,-7.488
1877,Portalegre-Portugal,39.29,-7.423
1878,Coimbra-Portugal,40.2004,-8.4167
1879,Leiria-Portugal,39.739,-8.805
1880,Covilha-Portugal,40.2833,-7.5
1881,Portimao-Portugal,37.1337,-8.5333
1882,Koror-Palau,7.3452,134.4695
1883,Melekeok-Palau,7.4874,134.6265
1884,Ngerulmud-Palau,7.5,134.6242
1885,La Victoria-Paraguay,-22.2896,-57.94
1886,General Eugenio Alejandrino Garay-Paraguay,-20.52,-62.21
1887,Bella Vista-Paraguay,-22.1296,-56.52
1888,Nacunday-Paraguay,-26.02,-54.7699
1889,Mariscal Estigarribia-Paraguay,-22.03,-60.61
1890,Horqueta-Paraguay,-23.3396,-57.05
1891,Capitan Pablo Lagerenza-Paraguay,-19.9161,-60.7833
1892,Pozo Colorado-Paraguay,-23.43,-58.86
1893,Belen-Paraguay,-23.4695,-57.24
1894,Fuerte Olimpo-Paraguay,-21.0696,-57.9
1895,Abai-Paraguay,-26.0296,-55.94
1896,Aregua-Paraguay,-25.3125,-57.3847
1897,Caazapa-Paraguay,-26.2,-56.38
1898,Concepcion-Paraguay,-23.4064,-57.4344
1899,Caacupe-Paraguay,-25.387,-57.14
1900,Villarrica-Paraguay,-25.75,-56.4333
1901,Pedro Juan Caballero-Paraguay,-22.5446,-55.76
1902,Encarnacion-Paraguay,-27.3472,-55.8739
1903,Coronel Oviedo-Paraguay,-25.45,-56.44
1904,Ciudad del Este-Paraguay,-25.5167,-54.6161
1905,San Juan Bautista-Paraguay,-26.68,-57.15
1906,Pilar-Paraguay,-26.8695,-58.3
1907,Paraguari-Paraguay,-25.62,-57.16
1908,Villa Hayes-Paraguay,-25.09,-57.53
1909,San Pedro-Paraguay,-24.09,-57.08
1910,Ype Jhu-Paraguay,-23.91,-55.46
1911,Filadelfia-Paraguay,-22.34,-60.03
1912,Salto del Guaira-Paraguay,-24.0625,-54.3069
1913,Asuncion-Paraguay,-25.2964,-57.6415
1914,Puerto Pinasco-Paraguay,-22.64,-57.79
1915,San Lorenzo-Paraguay,-25.34,-57.52
1916,Ita-Paraguay,-25.5096,-57.36
1917,Hohenau-Paraguay,-27.0795,-55.75
1918,Ypacarai-Paraguay,-25.41,-57.28
1919,Rosario-Paraguay,-24.4196,-57.1
1920,Coronel Bogado-Paraguay,-27.17,-56.25
1921,Ygatimi-Paraguay,-24.0796,-55.5
1922,Arroyos y Esteros-Paraguay,-25.05,-57.09
1923,Az Za`ayin-Qatar,25.5774,51.4831
1924,Al Wakrah-Qatar,25.1715,51.6034
1925,Al Khawr-Qatar,25.6839,51.5058
1926,Madinat ash Shamal-Qatar,26.1293,51.2009
1927,Umm Salal `Ali-Qatar,25.4697,51.3975
1928,Ar Rayyan-Qatar,25.2919,51.4244
1929,Doha-Qatar,25.2866,51.533
1930,Ash Shihaniyah-Qatar,25.3709,51.2226
1931,St.-Denis-Reunion,-20.8789,55.4481
1932,St.-Benoit-Reunion,-21.0335,55.7128
1933,Drobeta-Turnu Severin-Romania,44.6459,22.6659
1934,Braila-Romania,45.292,27.969
1935,Oradea-Romania,47.05,21.92
1936,Timisoara-Romania,45.7588,21.2234
1937,Resita-Romania,45.297,21.8865
1938,Calarasi-Romania,44.2063,27.3259
1939,Arad-Romania,46.17,21.32
1940,Alexandria-Romania,43.9016,25.2867
1941,Slobozia-Romania,44.57,27.382
1942,Baia Mare-Romania,47.6595,23.5791
1943,Tulcea-Romania,45.1993,28.7967
1944,Ploiesti-Romania,44.9469,26.0365
1945,Piatra-Neamt-Romania,46.94,26.383
1946,Suceava-Romania,47.6377,26.2593
1947,Botosani-Romania,47.7484,26.6597
1948,Constanta-Romania,44.2027,28.61
1949,Buzau-Romania,45.1565,26.8065
1950,Galati-Romania,45.4559,28.0459
1951,Vaslui-Romania,46.6333,27.7333
1952,Sfintu-Gheorghe-Romania,45.868,25.793
1953,Bacau-Romania,46.5784,26.9196
1954,Focsani-Romania,45.6966,27.1865
1955,Bucharest-Romania,44.4334,26.0999
1956,Brasov-Romania,45.6475,25.6072
1957,Pitesti-Romania,44.8563,24.8758
1958,Tirgu Mures-Romania,46.5582,24.5578
1959,Deva-Romania,45.8833,22.9167
1960,Cluj-Napoca-Romania,46.7884,23.5984
1961,Rimnicu Vilcea-Romania,45.11,24.383
1962,Sibiu-Romania,45.7971,24.1371
1963,Targu Jiu-Romania,45.045,23.274
1964,Alba Lulia-Romania,46.077,23.58
1965,Giurgiu-Romania,43.93,25.84
1966,Zalau-Romania,47.175,23.063
1967,Craiova-Romania,44.3263,23.8259
1968,Hunedoara-Romania,45.75,22.9
1969,Targoviste-Romania,44.938,25.459
1970,Bistrita-Romania,47.138,24.513
1971,Satu Mare-Romania,47.792,22.885
1972,Slatina-Romania,44.435,24.371
1973,Miercurea Cuic-Romania,46.361,25.524
1974,Iasi-Romania,47.1683,27.5749
1975,Belgrade-Serbia,44.8186,20.468
1976,Arandelovac-Serbia,44.3077,20.5612
1977,Bela Palanka-Serbia,43.2196,22.314
1978,Gadzin Han-Serbia,43.2223,22.0333
1979,Nis-Serbia,43.3304,21.9
